cod_market_segment,desc_market_segment,cod_banca_final,desc_banca_final,cod_segmento_final,desc_segmento_final,cod_segmento,desc_segmento,,,Maestra Market Segment,
100,Personas,BPE,Banca Negocio (ex pequeña empresa),B,-,100BPEB,,,,cod_market_segment,desc_market_segment
100,Personas,BPE,Banca Negocio (ex pequeña empresa),C,-,100BPEC,,,,910,Colaboradores
100,Personas,SV,-,SS,Sin segmento,100SVSS,,,,180,Consumo
100,Personas,BPE,Banca Negocio (ex pequeña empresa),SS,Sin segmento,100BPESS,,,,150,Pequeña Empresa
100,Personas,BPE,Banca Negocio (ex pequeña empresa),A,-,100BPEA,,,,190,Privada
150,Pequeña Empresa,BPE,Banca Negocio (ex pequeña empresa),S2,Mediana Empresa,150BPES2,,,,199,Recupero personas
150,Pequeña Empresa,BPE,Banca Negocio (ex pequeña empresa),B,-,150BPEB,,,,100,Personas
150,Pequeña Empresa,RECUP,Recuperos,SS,Sin segmento,150RECUPSS,,,,330,Corporativa
150,Pequeña Empresa,BPE,Banca Negocio (ex pequeña empresa),C,-,150BPEC,,,,300,Empresas
150,Pequeña Empresa,BPE,Banca Negocio (ex pequeña empresa),SS,Sin segmento,150BPESS,,,,301,Empresas Lima
150,Pequeña Empresa,BPE,Banca Negocio (ex pequeña empresa),A,-,150BPEA,,,,302,Empresas Provincia
150,Pequeña Empresa,BE,Banca Empresa,S1,Gran Empresa,150BES1,,,,310,Pymes
190,Privada,SV,-,SS,Sin segmento,190SVSS,,,,399,Recupero negocios
199,Recupero personas,BPE,Banca Negocio (ex pequeña empresa),C,-,199BPEC,,,,920,Empresas vinculadas
199,Recupero personas,G0,Gestor Cero,SS,Sin segmento,199G0SS,,,,350,Inmobiliario
199,Recupero personas,BE,Banca Empresa,SS,Sin segmento,199BESS,,,,410,Bancos
199,Recupero personas,RECUP,Recuperos,SS,Sin segmento,199RECUPSS,,,,430,Otras instituciones financieras
199,Recupero personas,BPE,Banca Negocio (ex pequeña empresa),SS,Sin segmento,199BPESS,,,,800,Instituciones financieras del exterior
199,Recupero personas,BPE,Banca Negocio (ex pequeña empresa),B,-,199BPEB,,,,900,Institucional
